zip,rate
36610,0.1350567138
36112,0.1350567138
36067,0.1350567138
36026,0.1350567138
35143,0.1350567138
35151,0.1350567138
36617,0.1350567138
35049,0.1350567138
35549,0.1350567138
35565,0.1350567138
36207,0.1350567138
36105,0.1350567138
36053,0.1350567138
36108,0.1350567138
35582,0.1350567138
35487,0.1350567138
35458,0.1350567138
35046,0.1350567138
35980,0.1350567138
35584,0.1350567138
35083,0.1350567138
36579,0.1350567138
36020,0.1350567138
35960,0.1350567138
35243,0.1350567138
36726,0.1350567138
36278,0.1350567138
35904,0.1350567138
35033,0.1350567138
36205,0.1350567138
36619,0.1350567138
36572,0.1350567138
35173,0.1350567138
35579,0.1350567138
36904,0.1350567138
36318,0.1350567138
35206,0.1350567138
36587,0.1350567138
35207,0.1350567138
36005,0.1350567138
35449,0.1350567138
35053,0.1350567138
35242,0.1350567138
36104,0.1350567138
35181,0.1350567138
36776,0.1350567138
35574,0.1350567138
36111,0.1350567138
36874,0.1350567138
35096,0.1350567138
35180,0.1350567138
35014,0.1350567138
36272,0.1350567138
35054,0.1350567138
35217,0.1350567138
35456,0.1350567138
36551,0.1350567138
36744,0.1350567138
35133,0.1350567138
36860,0.1350567138
35953,0.1350567138
36460,0.1350567138
35146,0.1350567138
36268,0.1350567138
36362,0.1350567138
36525,0.1350567138
36609,0.1350567138
35097,0.1350567138
35962,0.1350567138
36064,0.1350567138
35135,0.1350567138
36602,0.1350567138
36130,0.1350567138
35453,0.1350567138
35005,0.1350567138
35956,0.1350567138
36277,0.1350567138
35131,0.1350567138
36862,0.1350567138
35078,0.1350567138
36442,0.1350567138
35552,0.1350567138
35094,0.1350567138
35572,0.1350567138
35585,0.1350567138
36350,0.1350567138
36804,0.1350567138
36471,0.1350567138
35071,0.1350567138
36048,0.1350567138
36901,0.1350567138
36321,0.1350567138
36701,0.1350567138
35235,0.1350567138
36605,0.1350567138
36688,0.1350567138
35172,0.1350567138
36522,0.1350567138
35060,0.1350567138
36426,0.1350567138
35404,0.1350567138
36445,0.1350567138
35212,0.1350567138
36435,0.1350567138
35905,0.1350567138
35540,0.1350567138
35178,0.1350567138
35460,0.1350567138
36830,0.1350567138
36480,0.1350567138
36091,0.1350567138
36869,0.1350567138
36360,0.1350567138
35125,0.1350567138
36109,0.1350567138
35215,0.1350567138
35091,0.1350567138
36738,0.1350567138
36786,0.1350567138
35128,0.1350567138
36250,0.1350567138
36037,0.1350567138
36323,0.1350567138
35983,0.1350567138
35548,0.1350567138
35619,0.1350567138
36441,0.1350567138
36078,0.1350567138
36852,0.1350567138
36106,0.1350567138
35501,0.1350567138
35650,0.1350567138
35554,0.1350567138
36016,0.1350567138
36759,0.1350567138
35294,0.1350567138
36582,0.1350567138
36273,0.1350567138
35010,0.1350567138
36093,0.1350567138
36264,0.1350567138
36695,0.1350567138
36540,0.1350567138
